post_title,post_name,post_type,post_status,name_ar,name_en,name_he,sku,regular_price,stock_status,featured_image,product_cat,part_category,brand,featured,description_ar,description_en,description_he,specs,specs_0_label_ar,specs_0_label_en,specs_0_label_he,specs_0_value_ar,specs_0_value_en,specs_0_value_he,specs_1_label_ar,specs_1_label_en,specs_1_label_he,specs_1_value_ar,specs_1_value_en,specs_1_value_he,specs_2_label_ar,specs_2_label_en,specs_2_label_he,specs_2_value_ar,specs_2_value_en,specs_2_value_he,specs_3_label_ar,specs_3_label_en,specs_3_label_he,specs_3_value_ar,specs_3_value_en,specs_3_value_he,specs_4_label_ar,specs_4_label_en,specs_4_label_he,specs_4_value_ar,specs_4_value_en,specs_4_value_he,compatibility,compatibility_0_model_name,compatibility_1_model_name,compatibility_2_model_name,compatibility_3_model_name
طقم أقراص فرامل مهوّاة 330 مم,ventilated-brake-disc-set,product,publish,طقم أقراص فرامل مهوّاة 330 مم,Ventilated Brake Disc Set 330 mm,סט דיסקי בלם מאווררים 330 מ״מ,AF-BRK-330V,,instock,/images/part-brake.png,brakes,brakes,Brembo,1,أقراص فرامل مهوّاة عالية الأداء لمقاومة الحرارة على المنحدرات والأحمال الثقيلة. تصنيع من الحديد الزهر المرن مع طلاء مضاد للصدأ يحافظ على المظهر والأداء لفترة أطول.,High-performance ventilated discs engineered to resist heat fade on long descents and heavy loads. Cast from high-carbon iron with an anti-corrosion coating that keeps both looks and stopping power for longer.,דיסקים מאווררים בעלי ביצועים גבוהים שתוכננו לעמוד בהתחממות בירידות ארוכות ובעומסים כבדים. יצוקים מברזל עתיר פחמן עם ציפוי נגד קורוזיה.,5,القطر,Diameter,קוטר,330 mm,330 mm,330 mm,المادة,Material,חומר,حديد زهر عالي الكربون,High-carbon cast iron,ברזל יצוק עתיר פחמן,الموضع,Position,מיקום,أمامي,Front axle,סרן קדמי,الضمان,Warranty,אחריות,24 شهرًا,24 months,24 חודשים,بلد المنشأ,Origin,ארץ מקור,إيطاليا,Italy,איטליה,4,Sprinter 907,Crafter 2E,Transit V363,Daily 35S
تيل فرامل للخدمة الشاقة,heavy-duty-brake-pads,product,publish,تيل فرامل للخدمة الشاقة,Heavy-Duty Brake Pad Set,סט רפידות בלם לעבודה כבדה,AF-BRK-PD24,,instock,/images/part-brake-pads.png,brakes,brakes,Textar,0,خلطة احتكاك منخفضة الغبار وهادئة الصوت مع صفائح دعم مضادة للصرير، مخصصة للمركبات التجارية التي تعمل بحمولة كاملة يوميًا.,"Low-dust, low-noise friction compound with anti-squeal backing shims, developed for commercial vehicles running at full payload every day.","תרכובת חיכוך שקטה ודלת אבק עם שימים נגד חריקות, שפותחה לרכבים מסחריים בעומס מלא.",4,محتوى العلبة,Kit contents,תכולת הערכה,4 قطع + مسامير تثبيت,4 pads + fitting hardware,4 רפידות + חומרת התקנה,الموضع,Position,מיקום,أمامي,Front axle,סרן קדמי,الضمان,Warranty,אחריות,12 شهرًا,12 months,12 חודשים,بلد المنشأ,Origin,ארץ מקור,ألمانيا,Germany,גרמניה,,,,,,,3,Sprinter 907,Transit V363,Master III,
شاحن توربيني كامل بهندسة متغيرة,turbocharger-assembly,product,publish,شاحن توربيني كامل بهندسة متغيرة,Variable-Geometry Turbocharger,מגדש טורבו בגיאומטריה משתנה,AF-ENG-TB19,,instock,/images/part-turbo.png,engine,engine,Garrett,1,وحدة توربو أصلية بهندسة ريش متغيرة تعطي عزمًا مبكرًا واستجابة فورية. تأتي متوازنة ومختبرة على منصة قياس قبل الشحن.,Genuine variable-vane turbo unit delivering low-end torque and instant response. Every unit is balanced and flow-tested on a rig before it ships.,יחידת טורבו מקורית עם מדפים משתנים המספקת מומנט בסבבים נמוכים ותגובה מיידית. כל יחידה מאוזנת ונבדקת לפני המשלוח.,5,ضغط الشحن,Boost pressure,לחץ הזנה,1.8 bar,1.8 bar,1.8 bar,المادة,Material,חומר,سبيكة إنكونيل,Inconel alloy,סגסוגת אינקונל,الوزن,Weight,משקל,9.4 kg,9.4 kg,9.4 kg,الضمان,Warranty,אחריות,24 شهرًا,24 months,24 חודשים,بلد المنشأ,Origin,ארץ מקור,ألمانيا,Germany,גרמניה,4,OM651,OM642,2.0 EcoBlue,2.3 dCi
طقم بساتم وحلقات محرك,piston-ring-kit,product,publish,طقم بساتم وحلقات محرك,Piston & Ring Overhaul Kit,ערכת שיפוץ בוכנות וטבעות,AF-ENG-PR06,,instock,/images/part-piston.png,engine,engine,Mahle,0,طقم عمرة كامل بمقاسات مصنعية دقيقة، مع بساتم مطلية بالجرافيت لتقليل الاحتكاك في أول ساعات التشغيل.,"Complete overhaul kit machined to factory tolerances, with graphite-coated pistons that cut friction during the critical break-in hours.","ערכת שיפוץ מלאה בסבילות מקוריות, עם בוכנות מצופות גרפיט להפחתת חיכוך בשעות ההרצה.",4,محتوى العلبة,Kit contents,תכולת הערכה,6 بساتم + حلقات + مسامير,6 pistons + rings + pins,6 בוכנות + טבעות + פינים,القطر,Diameter,קוטר,83 mm,83 mm,83 mm,الضمان,Warranty,אחריות,12 شهرًا,12 months,12 חודשים,بلد المنشأ,Origin,ארץ מקור,ألمانيا,Germany,גרמניה,,,,,,,3,OM651,D4CB,2.2 TDCi,
وحدة إضاءة أمامية LED مصفوفية,led-headlight-unit,product,publish,وحدة إضاءة أمامية LED مصفوفية,Matrix LED Headlight Unit,יחידת פנס LED מטריצה,AF-LGT-LED7,,instock,/images/part-headlight.png,lighting,lighting,Hella,1,وحدة إضاءة كاملة بتقنية المصفوفة وإضاءة نهارية متكاملة، محكمة الغلق ضد الغبار والماء بمعيار IP68.,"Complete matrix headlight with integrated daytime running light, sealed to IP68 against dust and water ingress.","פנס מטריצה מלא עם תאורת יום משולבת, אטום בתקן IP68 מפני אבק ומים.",5,شدة الإضاءة,Light output,עוצמת אור,4 200 lm,4 200 lm,4 200 lm,الجهد,Voltage,מתח,12 / 24 V,12 / 24 V,12 / 24 V,الموضع,Position,מיקום,أمامي يسار / يمين,Front left / right,קדמי שמאל / ימין,الضمان,Warranty,אחריות,24 شهرًا,24 months,24 חודשים,بلد المنشأ,Origin,ארץ מקור,ألمانيا,Germany,גרמניה,4,Sprinter 907,Actros MP5,FH16,Transit V363
جنط ألمنيوم مطروق 22 بوصة,forged-alloy-wheel-22,product,publish,جنط ألمنيوم مطروق 22 بوصة,"Forged Alloy Wheel 22""","חישוק סגסוגת מחושל 22""",AF-WHL-F22,,instock,/images/part-wheel.png,wheels,wheels,BBS,0,جنط مطروق خفيف الوزن بتشطيب ماسي مصقول، يقلل الوزن غير المعلق ويحسن الاستجابة والتبريد للفرامل.,Lightweight forged wheel with a diamond-cut finish. Less unsprung mass means sharper handling and better brake cooling.,חישוק מחושל קל משקל בגימור יהלום. פחות מסה בלתי מומטת — אחיזה חדה וקירור בלמים טוב יותר.,5,المقاس,Size,מידה,"22"" × 9.5J","22"" × 9.5J","22"" × 9.5J",المادة,Material,חומר,ألمنيوم مطروق,Forged aluminium,אלומיניום מחושל,الوزن,Weight,משקל,11.2 kg,11.2 kg,11.2 kg,الضمان,Warranty,אחריות,24 شهرًا,24 months,24 חודשים,بلد المنشأ,Origin,ארץ מקור,ألمانيا,Germany,גרמניה,3,X7 G07,Land Cruiser 300,GLS X167,
طقم تروس ومزامنات ناقل الحركة,gearbox-synchro-set,product,publish,طقم تروس ومزامنات ناقل الحركة,Gearbox Synchro & Gear Set,סט סינכרון וגלגלי שיניים,AF-TRN-SY12,,instock,/images/part-gear.png,transmission,transmission,ZF,0,تروس مقواة ومزامنات جديدة لإعادة تأهيل ناقل الحركة اليدوي، تنهي مشاكل صعوبة الغيار والقفز من التروس العالية.,Hardened gears and fresh synchro rings to rebuild a manual gearbox — the fix for crunchy shifts and jumping out of the high gears.,גלגלי שיניים מוקשים וטבעות סינכרון חדשות לשיפוץ תמסורת ידנית — הפתרון להעברות קשות וניתוק הילוכים.,4,عزم التحمل,Torque rating,דירוג מומנט,2 300 Nm,2 300 Nm,2 300 Nm,محتوى العلبة,Kit contents,תכולת הערכה,12 سرعة كاملة,Full 12-speed set,סט מלא 12 הילוכים,الضمان,Warranty,אחריות,12 شهرًا,12 months,12 חודשים,بلد المنشأ,Origin,ארץ מקור,ألمانيا,Germany,גרמניה,,,,,,,3,ZF 12TX,Actros MP4,FH13,
فلتر زيت أصلي,premium-oil-filter,product,publish,فلتر زيت أصلي,Premium Spin-On Oil Filter,מסנן שמן פרימיום,AF-FLT-OL33,,instock,/images/part-oil-filter.png,filters,filters,Mann-Filter,0,وسط ترشيح صناعي متعدد الطبقات يحبس الجزيئات حتى 15 ميكرون، مع صمام مانع للرجوع يحافظ على ضغط الزيت عند التشغيل البارد.,"Multi-layer synthetic media that traps particles down to 15 microns, with an anti-drainback valve that keeps oil pressure ready on cold starts.","מדיה סינתטית רבת-שכבות הלוכדת חלקיקים עד 15 מיקרון, עם שסתום אל-חוזר לשמירת לחץ שמן בהתנעה קרה.",4,كفاءة الترشيح,Filtration,סינון,15 µm,15 µm,15 µm,القطر,Diameter,קוטר,93 mm,93 mm,93 mm,الضمان,Warranty,אחריות,12 شهرًا,12 months,12 חודשים,بلد المنشأ,Origin,ארץ מקור,ألمانيا,Germany,גרמניה,,,,,,,4,OM651,OM642,D4CB,2.0 EcoBlue
فلتر هواء للشاحنات الثقيلة,heavy-duty-air-filter,product,publish,فلتر هواء للشاحنات الثقيلة,Heavy-Duty Air Filter Element,מסנן אוויר לעבודה כבדה,AF-FLT-AR21,,instock,/images/part-air-filter.png,filters,filters,Donaldson,0,عنصر ترشيح هواء بمساحة سطح كبيرة للعمل في البيئات المتربة والمواقع الترابية، يحمي التوربو والمحرك من التآكل.,"High surface-area element built for dusty sites and unpaved routes, protecting the turbo and cylinders from abrasive wear.","אלמנט בעל שטח פנים גדול לאזורים מאובקים ודרכי עפר, מגן על הטורבו והמנוע משחיקה.",4,كفاءة الترشيح,Filtration,סינון,99.9 % @ 5 µm,99.9 % @ 5 µm,99.9 % @ 5 µm,المقاس,Size,מידה,320 × 145 mm,320 × 145 mm,320 × 145 mm,الضمان,Warranty,אחריות,12 شهرًا,12 months,12 חודשים,بلد المنشأ,Origin,ארץ מקור,الولايات المتحدة,USA,ארה״ב,,,,,,,3,Actros MP5,FH16,Daily 70C,
مساعد أمامي بأسطوانة مفردة,front-shock-absorber,product,publish,مساعد أمامي بأسطوانة مفردة,Front Monotube Shock Absorber,בולם זעזועים קדמי חד-צינורי,AF-SUS-SA48,,instock,/images/part-shock-absorber.png,suspension,suspension,Bilstein,0,مساعد بتقنية الغاز أحادي الأنبوب يمنع تكوّن الرغوة في الزيت، فيحفظ ثبات المركبة حتى بعد ساعات طويلة على الطرق الوعرة.,"Gas-pressurised monotube design that resists oil foaming, so damping stays consistent hour after hour on rough roads.","תכנון חד-צינורי בלחץ גז שמונע הקצפת שמן, כך שהריסון נשאר עקבי גם בדרכים משובשות.",4,شوط الامتصاص,Stroke,מהלך,185 mm,185 mm,185 mm,الموضع,Position,מיקום,أمامي,Front axle,סרן קדמי,الضمان,Warranty,אחריות,24 شهرًا,24 months,24 חודשים,بلد المنشأ,Origin,ארץ מקור,ألمانيا,Germany,גרמניה,,,,,,,3,Sprinter 907,Land Cruiser 300,Hilux GUN126,
